Scenario,Year,Metal,Technology,"Climate change, long term","Climate change, short term",Fossil and nuclear energy use,Freshwater acidification,Freshwater ecotoxicity,Freshwater eutrophication,Human toxicity cancer,Human toxicity non-cancer,Ionizing radiations,"Land occupation, biodiversity","Land transformation, biodiversity",Marine eutrophication,Mineral resources use,Ozone layer depletion,Particulate matter formation,Photochemical ozone formation,Terrestrial acidification,Water scarcity
NZE,2035,Graphite,Rest of the economy,3622630608.541236,5206247915.324145,94714287996.68146,11922222.650237925,2252648518943.6685,364480.77095834434,379.6854513205866,469.02869350428034,66317484485.70396,279707539.1872013,1592922.4881359413,1059979.4436079573,365080262.039693,82.08711947172631,3779469.069539047,12427293.426135223,21814450.4974657,741613417.2151864
NZE,2040,Graphite,Rest of the economy,3698559779.5370235,5442867605.255029,101492321312.06326,13037531.94631968,2531652247100.8174,415094.4715219869,423.6624734978334,556.3939431608501,78366109170.91177,415142269.51314014,1748577.4527492574,1185126.3890591303,411794544.1173157,124.89055757371786,4139254.3064111057,13569671.363674948,23879527.354078513,809320353.7915075
NZE,2045,Graphite,Rest of the economy,3932925862.167359,5867488413.892543,110858105360.83316,14588786.374798333,2871890191044.7227,467117.3962470114,473.5048516628571,652.2711733895397,92323769193.35912,504560474.6548613,1939033.860635866,1328980.4337136236,464893935.085132,148.64232334898728,4657405.5499833245,15061894.756653609,26708688.378925476,916374132.0066419
NZE,2050,Graphite,Rest of the economy,4272222008.4796357,6414873018.6269045,122128980149.18274,16285645.712652419,3237367402502.082,519881.056352959,526.0802613455047,743.0817598004091,106573036362.51663,565334564.0025373,2150753.8449876397,1467048.677896383,518819112.98830384,164.05901912973718,5189600.773678507,16418890.595117023,29637995.73163857,1039039944.9561203
NZE,2022,Indium,Rest of the economy,77364435.94008444,82152310.79811633,1272073077.9103122,626177.2935724674,77303289470.19188,1047.0492943143165,39.21745466991914,107.29937167333833,2239091679.1536436,4790465.2411144,30102.420760272493,22032.833224685055,16026322.398395108,1.5856846823779631,61952.40612130717,500300.0276389691,703676.2700860947,104394072.66256315
NZE,2030,Indium,Rest of the economy,46817431.56538524,50282518.696204975,852628574.282618,577278.111719132,88331372842.87242,1335.2451441775595,47.604258641463105,129.1048209726918,1954833654.646979,6163275.803361978,38856.23481692263,24120.927736054673,19422562.550894115,1.1914331243220586,46958.58822118986,532651.6069160062,688662.7216920271,119904440.66617498
NZE,2035,Indium,Rest of the economy,39721650.85917358,42933617.7737756,704092544.0046027,611597.993331825,98260036675.08226,1632.9463913830814,53.6794962932293,145.42010707692123,1580867647.3809817,8108331.698497643,44664.09334666746,26637.169174675346,21898363.29056687,1.0832668427685366,46812.62846913782,582743.9766910418,744730.0847795728,130984710.87030949
NZE,2040,Indium,Rest of the economy,40647458.658062465,43951066.24544083,675608044.6047518,679376.2204054852,109355444242.52603,1981.3203937109256,59.93829676288509,162.43834531650853,1274312250.2492955,10834731.734825421,49657.37108647582,29719.799345851916,24457918.865742378,1.2606093015112665,51843.92977091256,646915.1708433246,826739.0596976432,143646161.1456896
NZE,2045,Indium,Rest of the economy,42032799.05643713,45479898.22335466,660734044.1196932,755047.3319404302,121920105021.24174,2322.0627893061746,66.95614634197415,181.14901841001054,1042709302.4526002,13537386.317765154,55124.122647773795,33218.22452202722,27348463.55029214,1.4095873373821926,57670.28067956114,720632.6022101165,917371.8982900245,158932074.2230144
NZE,2050,Indium,Rest of the economy,44183143.77024777,47836786.55758921,668582489.985345,836201.1478162284,135632275512.24007,2624.941721412931,74.39622865098657,200.9559333035976,912360259.3505203,15471472.25643905,61180.24800927294,36931.183193702964,30404095.076575708,1.5768611569915636,63800.20942108245,799446.4884096173,1014550.6634765267,175869393.33110705
NZE,2022,Iridium,Rest of the economy,450833695.8532965,490262688.4372471,7813913432.852153,1593898933.4825358,112049629799.00848,8347.805601606724,5.114327665158225,89.31034900267761,8682373248.187775,8992619.351446245,62273.51863423702,49313.0754284814,17587733.107857756,7.2576881084130065,71388029.6649319,751173.4156901264,1157242749.44898,138911256.18914294
NZE,2030,Iridium,Rest of the economy,390677113.3730918,425666805.62241894,7159055036.11742,1932485976.9289677,120161280402.72704,10321.061665611389,6.06167272419518,105.8838972199072,9945817374.999628,12260560.760614835,75722.13513191989,56303.75680432599,21033772.578760568,7.818007247148918,86491444.87320606,702582.8331529254,1402786953.9199808,155738045.73607016
NZE,2035,Iridium,Rest of the economy,343080149.2500713,374043912.6100509,6214765646.30541,2177567445.604384,129164634331.0628,12206.612612924773,6.806293900369808,119.54735733487865,9000771428.288824,17744637.73539092,85231.6931334443,62948.91227715744,23805987.935007975,8.101004784742372,97442541.14418608,678383.2582419122,1580631925.58592,168089330.53779018
NZE,2040,Iridium,Rest of the economy,328624241.4456415,358903697.1603323,5722761009.982821,2430391295.724392,141466769580.89914,14312.131485781214,7.619141824101409,134.29094538033536,7383072006.214081,25895055.247411877,93213.4680426552,70413.59203276425,26795273.429842472,10.107874405079773,108749306.67548518,694396.0185624904,1764133415.0901554,182341173.1479064
